"id_OC"	"idSucursal"	"idProveedor"	"TipoDocumento"	"OrdenCompra"	"tipoCompra"	"idHES"	"HES"	"idDetRecpcion"	"posicionCompra"	"cantidad"	"costoUnitario"	"Subtotal"
"3173"	"1"	"100019"	"WE"	"COM-BDG-003173"	"1"	"3138"	"HES-BDG-003138"	"9116"	"13122"	"15"	"121.25"	"1818.75"
"3172"	"1"	"100033"	"WE"	"COM-BDG-003172"	"1"	"3137"	"HES-BDG-003137"	"9115"	"13121"	"5"	"859"	"4295"
"3170"	"1"	"100144"	"WE"	"COM-BDG-003170"	"1"	"3136"	"HES-BDG-003136"	"9114"	"13119"	"3000"	"1335"	"4005000"
"3169"	"1"	"100092"	"WE"	"COM-BDG-003169"	"1"	"3134"	"HES-BDG-003134"	"9110"	"13116"	"100"	"250"	"25000"
"3169"	"1"	"100092"	"WE"	"COM-BDG-003169"	"1"	"3134"	"HES-BDG-003134"	"9111"	"13117"	"60"	"500"	"30000"
"3169"	"1"	"100092"	"WE"	"COM-BDG-003169"	"1"	"3135"	"HES-ANE-003135"	"9112"	"13116"	"100"	"250"	"25000"
"3169"	"1"	"100092"	"WE"	"COM-BDG-003169"	"1"	"3135"	"HES-ANE-003135"	"9113"	"13117"	"60"	"500"	"30000"
"3168"	"1"	"100011"	"WE"	"COM-BDG-003168"	"1"	"3133"	"HES-BDG-003133"	"9109"	"13115"	"2400"	"272.5"	"654000"
"3167"	"1"	"100029"	"WE"	"COM-BDG-003167"	"1"	"3131"	"HES-BDG-003131"	"9107"	"13114"	"150"	"407.968"	"61195.2"
"3167"	"1"	"100029"	"WE"	"COM-BDG-003167"	"1"	"3132"	"HES-BDG-003132"	"9108"	"13114"	"50"	"407.968"	"20398.4"
"3166"	"1"	"100029"	"WE"	"COM-BDG-003166"	"1"	"3129"	"HES-BDG-003129"	"9105"	"13113"	"30"	"691.2"	"20736"
"3166"	"1"	"100029"	"WE"	"COM-BDG-003166"	"1"	"3130"	"HES-BDG-003130"	"9106"	"13113"	"20"	"691.2"	"13824"
